Date	Open	High	Low	Close	Volume	Adj Close			
28/02/2007	6286.1	6286.1	6166.2	6171.5	2147044800	6171.5			
01/03/2007	6171.5	6230.7	6038.9	6116	2147378000	6116			
02/03/2007	6116	6164.4	6085.6	6116.2	1923026800	6116.2			
05/03/2007	6116.2	6116.2	5989.6	6058.7	1913736200	6058.7			
06/03/2007	6058.7	6138.5	6058.7	6138.5	2123082800	6138.5			
07/03/2007	6138.5	6167.6	6106.1	6156.5	1669634300	6156.5			
08/03/2007	6156.5	6233.1	6156.5	6227.7	1542604000	6227.7			
09/03/2007	6227.7	6255.8	6190.3	6245.2	1660715000	6245.2			
12/03/2007	6245.2	6276.3	6219.3	6233.3	1355450200	6233.3			
13/03/2007	6233.3	6240.7	6161.2	6161.2	1595964300	6161.2			
14/03/2007	6161.2	6161.2	6000.7	6000.7	2147069800	6000.7			
15/03/2007	6000.7	6133.2	6000.7	6133.2	2137773200	6133.2			
16/03/2007	6133.2	6142.2	6094.7	6130.6	2116076000	6130.6			
19/03/2007	6130.6	6200.6	6130.6	6189.4	1827203000	6189.4			
20/03/2007	6189.4	6220.3	6159.4	6220.3	2146044000	6220.3			
21/03/2007	6220.3	6287.5	6207.7	6256.8	1776058400	6256.8			
22/03/2007	6256.8	6342.1	6256.8	6318	2143517800	6318			
23/03/2007	6318	6350.4	6296.6	6339.4	2052956800	6339.4			
26/03/2007	6339.4	6355.3	6274.1	6291.9	1766095600	6291.9			
27/03/2007	6291.9	6337.7	6276.8	6292.6	1549551200	6292.6			
28/03/2007	6292.6	6304.9	6250.1	6267.2	1582559700	6267.2			
29/03/2007	6267.2	6334.7	6267.2	6324.2	1534047700	6324.2			
30/03/2007	6324.2	6330	6291.1	6308	1952043600	6308			
02/04/2007	6308	6342.2	6293.9	6315.5	1360638100	6315.5			
03/04/2007	6315.5	6366.1	6315.5	6366.1	1816500000	6366.1			
04/04/2007	6366.1	6380.5	6345.9	6364.7	1749293400	6364.7			
05/04/2007	6364.7	6398.7	6350.3	6397.3	1373407100	6397.3			
10/04/2007	6397.3	6431.7	6394.3	6417.8	1604097700	6417.8			
11/04/2007	6417.8	6445.9	6401.9	6413.3	1995616000	6413.3			
12/04/2007	6413.3	6419.6	6376.4	6416.4	1491396500	6416.4			
13/04/2007	6416.4	6462.4	6416.4	6462.4	1515814000	6462.4			
16/04/2007	6462.4	6516.2	6462.4	6516.2	1504428800	6516.2			
17/04/2007	6516.2	6516.2	6456.4	6497.8	1558112100	6497.8			
18/04/2007	6497.8	6497.8	6440.8	6449.4	1490398100	6449.4			
19/04/2007	6449.4	6451.8	6386.2	6440.6	1447222200	6440.6			
20/04/2007	6440.6	6508.9	6440.6	6486.8	2142959200	6486.8			
23/04/2007	6486.8	6504.5	6466.1	6479.7	1325336900	6479.7			
24/04/2007	6479.7	6493.1	6408.4	6429.5	2082848400	6429.5			
25/04/2007	6429.5	6479	6429.5	6461.9	2141341200	6461.9			
